## L1Farm (2025)
# Subset AF-L1 Caucasian (BC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Diploid genome sequence of Dr J. Craig Venter - HuRef+HuRefPrime including unplaced scaffolds shorter than 3 Kbp (GCA_000252825.1).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

CM000473.1	52221223	52227241	L1HS	.	+	51	1	2	6018	0.991527	0.999834
CM000495.1	84655396	84661421	L1HS	.	+	48	7	1	6025	0.992025	0.999003
CM000494.1	26715501	26721520	L1HS	.	-	52	1	1	6019	0.991361	1
CM000465.1	26715253	26721272	L1HS	.	-	52	1	1	6019	0.991361	1
CM000506.1	39963374	39969388	L1HS	.	+	49	1	6	6014	0.991859	0.999169
CM000491.1	92376920	92382938	L1HS	.	-	52	1	2	6018	0.991361	0.999834
CM000462.1	92377624	92383642	L1HS	.	-	52	1	2	6018	0.991361	0.999834
CM000495.1	155229886	155235907	L1HS	.	-	50	3	1	6021	0.991693	0.999668
CM000466.1	155229595	155235616	L1HS	.	-	50	3	1	6021	0.991693	0.999668
CM000463.1	224864542	224870563	L1HS	.	-	50	3	1	6021	0.991693	0.999668
CM000491.1	158799349	158805366	L1HS	.	+	51	1	3	6017	0.991527	0.999668
CM000497.1	24968495	24974512	L1HS	.	-	42	1	3	6017	0.993022	0.999668
CM000496.1	92130992	92137012	L1HS	.	-	52	2	1	6020	0.991361	0.999834
CM000467.1	92131244	92137264	L1HS	.	-	52	2	1	6020	0.991361	0.999834
CM000496.1	81273480	81279497	L1HS	.	+	48	2	4	6017	0.992025	0.999668
CM000467.1	81273601	81279618	L1HS	.	+	48	2	4	6017	0.992025	0.999668
CM000494.1	74778475	74784490	L1HS	.	+	48	1	5	6015	0.992025	0.999335
CM000492.1	140944956	140950973	L1HS	.	+	52	1	3	6017	0.991361	0.999668
CM000463.1	140944905	140950922	L1HS	.	+	52	1	3	6017	0.991361	0.999668
CM000501.1	83336769	83342790	L1HS	.	-	54	2	0	6021	0.991028	0.999668
CM000472.1	83337542	83343563	L1HS	.	-	54	2	0	6021	0.991028	0.999668
CM000503.1	89754311	89760325	L1HS	.	-	51	1	6	6014	0.991527	0.999169
CM000474.1	89755628	89761642	L1HS	.	-	51	1	6	6014	0.991527	0.999169
CM000508.1	36214024	36220044	L1HS	.	+	53	2	1	6020	0.991195	0.999834
CM000494.1	14094403	14100423	L1HS	.	+	53	2	1	6020	0.991195	0.999834
CM000479.1	36213982	36220002	L1HS	.	+	53	2	1	6020	0.991195	0.999834
CM000492.1	122747630	122753633	L1HS	.	-	46	1	17	6003	0.992358	0.997342
CM000463.1	122747460	122753463	L1HS	.	-	46	1	17	6003	0.992358	0.997342
CM000462.1	158800663	158806680	L1HS	.	+	53	1	3	6017	0.991195	0.999668
CM000504.1	28774128	28780147	L1HS	.	+	55	1	1	6019	0.990862	1
CM000498.1	132203878	132209901	L1HS	.	+	47	6	2	6023	0.992191	0.999335
DS991032.1	122547	128551	L1HS	.	-	47	1	16	6004	0.992191	0.997508
DS486394.1	122535	128539	L1HS	.	-	47	1	16	6004	0.992191	0.997508
CM000492.1	150308496	150314516	L1HS	.	+	50	6	5	6020	0.991693	0.999834
CM000463.1	150308469	150314489	L1HS	.	+	50	6	5	6020	0.991693	0.999834
CM000498.1	72020769	72026787	L1HS	.	-	55	1	2	6018	0.990862	0.999834
CM000465.1	103226637	103232655	L1HS	.	-	55	1	2	6018	0.990862	0.999834
CM000498.1	89624890	89630903	L1HS	.	+	51	1	7	6013	0.991527	0.999003
CM000462.1	85255359	85261409	L1HS	.	-	53	1	0	6050	0.991195	0.99485
CM000472.1	86783911	86789931	L1HS	.	-	55	2	1	6020	0.990862	0.999834
CM000462.1	67309447	67315463	L1HS	.	-	55	1	4	6016	0.990862	0.999502
CM000492.1	185937216	185943231	L1HS	.	-	51	2	6	6015	0.991527	0.999335
CM000491.1	103263036	103269053	L1HS	.	-	54	1	3	6017	0.991028	0.999668
CM000501.1	86217053	86223072	L1HS	.	-	55	2	2	6019	0.990862	1
CM000491.1	85254623	85260673	L1HS	.	-	54	1	0	6050	0.991028	0.99485
CM000475.1	28774086	28780105	L1HS	.	+	57	1	1	6019	0.99053	1
CM000466.1	76120165	76126184	L1HS	.	+	57	1	1	6019	0.99053	1
CM000504.1	25285805	25291823	L1HS	.	-	56	1	2	6018	0.990696	0.999834
CM000475.1	25285796	25291814	L1HS	.	-	56	1	2	6018	0.990696	0.999834
CM000491.1	210244346	210250360	L1HS	.	-	54	1	6	6014	0.991028	0.999169
CM000462.1	210245221	210251235	L1HS	.	-	54	1	6	6014	0.991028	0.999169
CM000463.1	185937052	185943067	L1HS	.	-	52	2	6	6015	0.991361	0.999335
CM000491.1	67309350	67315370	L1HS	.	-	59	1	0	6020	0.990198	0.999834
CM000462.1	103263602	103269619	L1HS	.	-	55	1	3	6017	0.990862	0.999668
CM000472.1	86217869	86223888	L1HS	.	-	56	2	2	6019	0.990696	1
CM000494.1	103227330	103233347	L1HS	.	-	56	1	3	6017	0.990696	0.999668
CM000468.1	91844328	91850355	L1HS	.	+	49	5	1	6027	0.991859	0.998671
CM000493.1	160323594	160329609	L1HS	.	+	54	2	6	6015	0.991028	0.999335
CM000495.1	76120438	76126457	L1HS	.	+	59	1	1	6019	0.990198	1
CM000469.1	7253268	7259288	L1HS	.	+	58	2	1	6020	0.990364	0.999834
CM000469.1	72021218	72027236	L1HS	.	-	59	1	2	6018	0.990198	0.999834
CM000464.1	160323425	160329440	L1HS	.	+	55	2	6	6015	0.990862	0.999335
CM000471.1	94169353	94175359	L1HS	.	-	50	1	14	6006	0.991693	0.99784
CM000469.1	89625344	89631354	L1HS	.	+	53	1	10	6010	0.991195	0.998505
CM000498.1	7253063	7259083	L1HS	.	+	59	2	1	6020	0.990198	0.999834
CM000465.1	49346509	49352524	L1HS	.	+	58	1	5	6015	0.990364	0.999335
CM000493.1	90232414	90238433	L1HS	.	-	61	1	1	6019	0.989865	1
